"Código do Lote","Código da Edificação","Cadastro IPTU","Nome","Descrição","Endereço","Lei-Decreto","Data do Documento","Esfera","COMPHIC","Intimação","Características","Situação","Observações"
"04.0011.0015.0214","04.0011.0015.0214.004.001","2032100 (geo), não tem cadastro no decreto",Igreja Evangélica Luterana de Santa Maria,"Templo da Igreja Evangélica Luterana de Santa Maria","Rua Barão do Triunfo, 1080","DE n° 26/2019
(anterior provisório DE nº 100/2018, Patrimônio Histórico LM n° 4614/2002)",18/02/2019,Municipal, - , - ,"Edificação em sua totalidade. Fachadas com seus detalhes, óculos e símbolo dos luteranos fixado na fachada principal, volumetria, configuração do telhado, vão das demais esquadrias: vitrais, mezanino e altar em madeira, três sinos em ferro fundido, torre em formato piramidal com oito águas, quatro óculos e quatro aberturas com arco ogival, molduras, detalhes, esferas decorativas e cruz em ferro maciço",Tombamento Definitivo,
"02.0011.0023.0047","02.0011.0023.0047.001.001","5477100",Vila Belga - casa geminada, - ,"Rua Manoel Ribas, 1907",Portaria Estadual n° 30/2000 (E) LM n° 2983/1988 e DE n° 161/1997,"06/06/1988 e 08/08/1997",Estadual/Municipal, - , - , - ,Tombamento Definitivo, - 
"03.0011.0024.0013", - ,"249700, 249600 (DE e GEO), 249900, 249800",Imóvel, - ,"Rua do Acampamento, 54 - 545 - 549 - 2605",DE nº 184/2020,"05/08/2020",Municipal,Of. nº 159/COMPHIC/2020,INTIMAÇÃO Nº 139/COMPHIC/2020,"Tombamento da edificação na totalidade de sua volumetria e modenatura – forma, cobertura, vãos e elementos arquitetônicos e decorativos –, assegurando sua integridade arquitetônica e composição urbanística na conformação da paisagem ambiental do centro histórico de Santa Maria.",Tombamento Provisório, - 
"04.0011.0020.0309", - ,"2114200 (GEO-lote), 2114300, 2115200 (GEO-edificação), 2115700, 2115100, 2115500, 2115600, 2116000, 2116100, 2114700, 2115300, 2115400, 2115800, 2115900, 2114400, 2114500, 2114600, 2114800, 2114900, 2115000 (DE) (imagino que sejam os cadastros dos apar",Imóvel, - ,"Rua Marechal Floriano Peixoto, 1100, 1066, 1070, 1084, 1088, 1094, 1092, 1086, 1076, 1074, 1068",DE nº 187/2020,"05/08/2020",Municipal,Of. nº 163/COMPHIC/2020,INTIMAÇÃO Nº 143/COMPHIC/2020,"Tomba-se a volumetria do conjunto perceptível desde o passeio público, preservando sua ornamentação, vãos e esquadrias de madeira. Deve-se ter mais cuidado na adição de placas publicitárias. ",Tombamento Provisório, - 
"04.0011.0006.0018", - ,"1915900",Imóvel, - ,"Rua Serafim Valandro, 605",DE nº 189/2020,"05/08/2020",Municipal,Of. nº 167/COMPHIC/2020,INTIMAÇÃO Nº 147/COMPHIC/2020,"Tombamento do bem em tela, preservando a integridade de sua volumetria – no que se inclui, com destaque, a cobertura -  e a modenatura, materialidade e elementos arquitetônicos remanescentes nas fachadas - incluídos vãos e esquadrias -, além das áreas externas contíguas, ajardinadas, o poço como remanescente e muros, sem acréscimo ou supressão que afetem a leitura arquitetônica original neocolonial. Sugere-se, em oportuno, a restituição dos muros ao feitio original, liberando o gradil de fechamento, destoante no todo.",Tombamento Provisório, - 
"01.0011.0017.0034", - ,"4263200",Fábrica de Sabão,"Conjunto de prédios situados na esquina das Ruas Ernesto Beck e José do Patrocínio e dá outras providências (Fábrica de Sabão, Fábrica de Gelo, Torrefação de café e Açougue).",Rua José Patrocínio esq Rua Ernesto Beck,DE n° 024/2003,21/02/2003,Municipal, - , - ,Volumetria e vãos de aberturas das duas fachadas principais do conjunto composto de quatro prédios.,Tombamento Definitivo (E) - Tombamento Definitivo (M), - 
"02.0011.0059.0515","02.0011.0059.0515.001.001",5699900 (geo),Câmara de Vereadores,Câmara Municipal de Vereadores de Santa Maria,"Rua Vale Machado, 1415",LM n° 5005/2007,12/06/2007,Municipal, - , - , - ,Patrimônio Histórico, - 
"03.0211.0902.0026","03.0211.0902.0026.001.001","530221470186023",Estação Ferroviária de Camobi,Antiga Estação Ferroviária de Camobi,Próximo Rua Lobo da Costa,LM n° 4427/2001,"06/06/2001",Municipal, - , - , - ,Patrimônio Histórico e Cultural, - 
"03.0014.0005.0129","03.0014.0005.0129.002.001","542700",Capelinha Branca,Capelinha Branca,Rua São João do Polêsine,LM n° 4433/2001,25/06/2001,Municipal, - , - , - ,Patrimônio Histórico e Cultural, - 
"03.0023.0004.0457","03.0023.0004.0045.001.001","931500",Capelinha Rosa,Capelinha Rosa,Rua Bosque,LM n° 4433/2001,25/06/2001,Municipal, - , - , - ,Patrimônio Histórico e Cultural, - 
"02.0011.0011.0142","02.0011.0011.0142.001.001","5428500",Vila Belga - casa geminada, - ,"Rua Manoel Ribas, 1942",Portaria Estadual 30-2000 - LM n° 2983-1988 e DE n° 161-1997, - ,Estadual/Municipal, - , - , - ,Tombamento Definitivo, - 
"02.0011.0011.0151","02.0011.0011.0151.001.001","5428600",Vila Belga - casa geminada, - ,"Rua Manoel Ribas, 1954",Portaria Estadual 30-2000 - LM n° 2983-1988 e DE n° 161-1997, - ,Estadual/Municipal, - , - , - ,Tombamento Definitivo, - 
"03.0011.0001.0259", - ,NE.0011.0001.0251.0000 – 100,Coreto Praça Saldanha Marinho,Coreto e o Chafariz da Praça Saldanha Marinho,Rua Venâncio Aires,LM n° 4583/2002,19/08/2002,Municipal, - , - , - ,Patrimônio Histórico e Cultural, - 
"02.0011.0067.0061","02.0011.0067.0061.001.001","5776400",Catedral Metropolitana,"Prédio do Templo da Catedral Diocesana
","Av. Rio Branco, 823",DE n° 99/2024 (Patrimônio Histórico LM n° 4616/2002),10/06/2024,Municipal, - , - ,"O tombamento envolve o Edifício da Catedral Metropolitana Santa Maria da Paróquia Nossa Senhora da Conceição em sua totalidade volumétrica externa incluindo os seguintes elementos: detalhes da fachadas e aberturas, em especial de acesso ao Templo, entalhadas em madeira e ricamente ornamentadas; os 37 vitrais, os 21 mais relevantes detalhados no DE nº 99/2024; Cátedra do Arcebispo produzida em madeira; Retábulo do Altar Mor em madeira; imagem de madeira da Imaculada Conceição; sino missioneiro; escultura em bronze em homenagem ao Pe. Caetano Pagliuca; Pinturas internas a frescos, denominadas no DE nº 99/2024; toda ambientação interna do edifício. ",Tombamento Provisório, - 
"02.0011.0011.0160","02.0011.0011.0160.001.001","5428700",Vila Belga - casa geminada, - ,"Rua Manoel Ribas, 1958",Portaria Estadual 30-2000 - LM n° 2983-1988 e DE n° 161-1997, - ,Estadual/Municipal, - , - , - ,Tombamento Definitivo, - 
"02.0011.0011.0168","02.0011.0011.0168.001.001","5428800",Vila Belga - casa geminada, - ,"Rua Manoel Ribas, 1972",Portaria Estadual 30-2000 - LM n° 2983-1988 e DE n° 161-1997, - ,Estadual/Municipal, - , - , - ,Tombamento Definitivo, - 
"02.0011.0011.0177","02.0011.0011.0177.001.001","5428900",Vila Belga - casa geminada, - ,"Rua Manoel Ribas, 1976",Portaria Estadual 30-2000 - LM n° 2983-1988 e DE n° 161-1997, - ,Estadual/Municipal, - , - , - ,Tombamento Definitivo, - 
"02.0011.0023.0056","02.0011.0023.0056.001.001","5477200",Vila Belga - casa geminada, - ,"Rua Manoel Ribas, 1919",Portaria Estadual n° 30/2000 (E) LM n° 2983/1988 e DE n° 161/1997 (M), - ,Estadual/Municipal, - , - , - ,Tombamento Definitivo, - 
