"Nome","Ato de Criação","Data de Criação","Link","ResumoBreve"
"Área de Proteção Ambiental do Marajó","Constituição - Art.13",05/10/89,"https://ideflorbio.pa.gov.br/area-de-protecao-ambiental-do-marajo/","Área de Proteção Ambiental do Marajó (APA Arquipélago do Marajó): É a maior Unidade de Conservação na costa norte do Brasil e uma Unidade de Uso Sustentável, criada em 1989 (Art. 13, § 2º, da Constituição do Estado do Pará). Abrange cerca de 5,9 milhões de hectares (59.043,22 Km²) e 16 municípios da porção insular e continental do Arquipélago do Marajó. Exerce proteção sobre uma grande diversidade de ecossistemas (Amazônico e Costeiro/Marinho) e biodiversidade, incluindo a coexistência de duas espécies de peixe-boi ameaçadas (Trichechus manatus e Trichechus inunguis). É rica em paisagens naturais como praias, rios, campos alagados, mangues e florestas, e sua cultura marajoara é expressa na música, dança, artesanato e alimentação. A região possui diversos sítios arqueológicos de elevada importância histórica, cultural e científica. Os principais objetivos são proteger a diversidade biológica, desenvolver e melhorar a qualidade de vida da população marajoara, organizar a ocupação e assegurar a sustentabilidade do uso dos recursos naturais."
"Área de Proteção Ambiental de Algodoal-Maiandeua","Lei Ordinária Nº 5.621",27/11/90,"https://ideflorbio.pa.gov.br/area-de-protecao-ambiental-de-algodoal-maiandeua/","Área de Proteção Ambiental de Algodoal-Maiandeua (APA Algodoal-Maiandeua): Unidade de Conservação de Uso Sustentável, criada em 1990 (Lei Estadual N° 5.621/1990). Localizada no litoral nordeste do estado do Pará, no município de Maracanã, engloba as Ilhas de Algodoal (385 ha) e Maiandeua (1.993 ha), totalizando 2.378 hectares. É formada por quatro comunidades pesqueiras (Algodoal, Camboinha, Fortalezinha e Mocooca) e sua cobertura vegetal é predominantemente composta por manguezais, apicuns, restingas e vegetação secundária. O acesso é feito por via terrestre de Belém até Marudá, seguido por um trecho fluvial até o porto da Vila de Algodoal."
"Área de Proteção Ambiental da Região Metropolitana de Belém","Decreto Nº 1.551",03/05/93,"https://ideflorbio.pa.gov.br/area-de-protecao-ambiental-da-regiao-metropolitana-de-belem/","Área de Proteção Ambiental da Região Metropolitana de Belém (APA Belém): Unidade de Conservação de Uso Sustentável criada em 1993 (Decreto Estadual nº 1.551), com área territorial de 7.457,50 hectares (74,57 km²), abrangendo os municípios de Belém e Ananindeua. Seus objetivos incluem assegurar a potabilidade da água dos mananciais, ordenar o uso do solo, promover o saneamento ambiental, recuperar áreas degradadas e preservar a biodiversidade, valorizando o ecoturismo e protegendo o Sítio Histórico do Engenho do Murutucu. A unidade presta diversos serviços ambientais como regulação do microclima, estabilidade do solo e armazenamento de água. Não são permitidas atividades de terraplanagem, mineração ou indústrias poluentes. As atividades desenvolvidas são voltadas para ensino acadêmico, pesquisas científicas (com a presença de universidades como UFPA e UFRA, e instituições como Museu Goeldi), serviços institucionais, lazer, esportes e entretenimento. Os atrativos turísticos incluem a paisagem das matas margeando o Rio Guamá, com belos pôr do sol, e o Sítio Histórico do Engenho do Murutucu, tombado como patrimônio histórico. A entrada é gratuita."
"Parque Estadual da Serra dos Martírios/Andorinhas","Lei Estadual nº 5.982",25/07/96,"https://ideflorbio.pa.gov.br/parque-serra-martirios/","Parque Estadual da Serra dos Martírios/Andorinhas (PESAM): É uma Unidade de Proteção Integral de cerca de 24.897,38 hectares (248,9738 Km²), criada em 1996 (Lei Estadual nº 5.982, de 25 de julho de 1996) e localizada no município de São Geraldo do Araguaia, sudeste paraense. Seu objetivo é preservar ecossistemas naturais de grande relevância ecológica e beleza cênica, possibilitando pesquisas científicas, educação ambiental, recreação e turismo ecológico. O parque é uma zona de transição entre os biomas Amazônia e Cerrado, rica em biodiversidade, belezas cênicas, cachoeiras (como Quarta Queda, Véu de Noiva, Visagem, Urubu Rei), sítios arqueológicos (como a Casa de Pedra), cavernas, grutas, registros rupestres, trilhas e mirantes. As visitas e pesquisas requerem autorização prévia do Ideflor-Bio e acompanhamento de condutores autorizados para trilhas. O acesso pode ser feito por via terrestre ou aérea (até Marabá e depois terrestre)."
"Área de Proteção Ambiental da Ilha de Combu","Lei Ordinária Nº 6083",13/11/97,"https://ideflorbio.pa.gov.br/area-de-protecao-ambiental-da-ilha-do-combu-apa-da-ilha-do-combu/","Área de Proteção Ambiental da Ilha do Combu (APA da Ilha do Combu): Unidade de Conservação de Uso Sustentável em Belém, criada em 1997 (Lei Estadual nº 6.083 de 13/11/1997). Compreende a quarta maior ilha do município de Belém, com área territorial de 15,972 km², e está localizada a 1,5 Km ao sul da cidade. Seu objetivo é proteger e restaurar a diversidade biológica, os recursos genéticos e as espécies ameaçadas de extinção, além de promover o desenvolvimento sustentável através do ordenamento dos recursos naturais e a melhoria da qualidade de vida da comunidade local. A ilha possui ecossistema típico de várzea com grande beleza cênica e paisagem florestal exuberante. A população vive basicamente da pesca e do extrativismo, com destaque para a produção de açaí e cacau. É um local propício para contemplação da natureza, caminhadas e passeios de barco, com rica avifauna (como o papagaio do Mangue) e presença de botos e outras espécies. A entrada de visitantes é gratuita, e o acesso é feito por via fluvial, com barcos saindo de Belém. A APA da Ilha do Combu também conta com mais de 20 estabelecimentos, entre bares e restaurantes, às margens da ilha."
"Área de Proteção Ambiental de São Geraldo do Araguaia – APA Araguaia","Decreto Nº 02",01/10/98,"https://ideflorbio.pa.gov.br/area-de-protecao-ambiental-araguaia/","Área de Proteção Ambiental de São Geraldo do Araguaia – APA Araguaia: É uma Unidade de Conservação de Uso Sustentável, criada pela Lei Estadual nº. 5.983, de 25 de julho de 1996. Localiza-se integralmente no município de São Geraldo do Araguaia, sudeste do Pará. Tem por objetivo conservar e recuperar os ecossistemas, visando à melhoria da qualidade de vida das populações locais por meio de programas e projetos de desenvolvimento sustentável. Na APA Araguaia, encontram-se sítios arqueológicos, cavernas, grutas, figuras rupestres, trilhas e cachoeiras. Destaca-se a presença da famosa inscrição rupestre da Pedra Escrita e a Ilha dos Martírios, com inscrições em pedra datadas de mais de 8.000 anos. É uma zona de transição entre os biomas Amazônia e Cerrado. A APA também serve como zona-tampão do Parque Estadual da Serra dos Martírios/Andorinhas (PESAM). É um importante local para a observação do Gavião-Real (Harpia harpyja), espécie ameaçada e bioindicador da unidade. A região também possui significado histórico por ter sido a ""base"" da Guerrilha do Araguaia."
"Parque Estadual Monte Alegre – PEMA","Lei Estadual nº 6.412",09/11/01,"https://ideflorbio.pa.gov.br/parque-estadual-monte-alegre-pema/","Parque Estadual Monte Alegre (PEMA Monte Alegre): É uma Unidade de Conservação de Proteção Integral com uma área total de 3.678 hectares (36,78 Km²), criada em 2001 (Lei Estadual n°. 6.412) e retificada em 2013 (Lei Estadual n° 7.692). Localiza-se no município de Monte Alegre, no noroeste do Pará. Seu objetivo é proteger ecossistemas naturais, recursos culturais, históricos e belezas cênicas, conciliando a proteção integral com usos para fins científicos, culturais, educacionais, recreativos e ecoturísticos. O PEMA apresenta um complexo de serras (Serra da Lua, Serra do Ererê), vales e cavernas (Gruta do Pilão, Gruta Itatupaoca). Destaca-se pela presença de diversos sítios arqueológicos com pinturas rupestres, incluindo o mais antigo da Amazônia Sul Americana, datado em 11.200 anos. As atividades incluem arqueoturismo (visitação a sítios arqueológicos e escalada), trilhas, espeleoturismo (visita a cavernas), educação ambiental, esportes como mountain bike e pesquisas científicas. A entrada é gratuita, mas a visitação monitorada requer solicitação prévia, e a guiada, a contratação de condutores credenciados. O melhor período para visitação é de maio a dezembro, quando as chuvas são menos intensas."
"Área de Proteção Ambiental Paytuna","Lei Estadual Nº 6.426",17/12/01,"https://ideflorbio.pa.gov.br/area-de-protecao-ambiental-paytuna/","Área de Proteção Ambiental Paytuna (APA Paytuna): Unidade de Conservação de Uso Sustentável, criada em 2001 (Lei Estadual n° 6.426) e retificada em 2013 (Lei Estadual n° 7.692), com área de 58.251 hectares (582,51 km²). Seus objetivos básicos são proteger a diversidade biológica, disciplinar o processo de ocupação e assegurar a sustentabilidade do uso dos recursos naturais. A APA Paytuna possui atrativos paisagísticos relevantes e grande beleza natural, incluindo sítios arqueológicos de cerâmica, cavidades naturais, áreas rochosas com vista para lagos naturais, e vegetação de cerrado. As comunidades locais baseiam sua economia de subsistência em atividades agroextrativistas e pecuárias, com cultivo de mandioca e extração de buriti, açaí e palha branca, além de pesca artesanal. As principais atividades turísticas incluem visitas ao Igarapé do Ererê e à Praia da Ponta do Periquito, participação em festas religiosas e torneios, passeios fluviais, trilhas, visita a comunidades, festival do buriti, banho em balneários e pesca esportiva no Lago Grande. Atualmente, não há infraestrutura de visitação na APA Paytuna."
"Área de Proteção Ambiental do Lago de Tucuruí","Lei Estadual Nº 6.451",08/04/02,"https://ideflorbio.pa.gov.br/area-de-protecao-ambiental-do-lago-de-tucurui/","Área de Proteção Ambiental do Lago de Tucuruí (APA Lago de Tucuruí): Unidade de Conservação de Uso Sustentável criada em 2002 (Lei Nº 6.451, de 8 de abril de 2002), localizada no sudeste paraense. Possui uma extensão territorial de 503.490,00 hectares (descontadas as áreas das RDSs Alcobaça e Pucuruí-Ararão, que estão dentro de seu território). É a 8ª maior Unidade de Conservação Estadual e apresenta núcleos populacionais e dinâmicas econômicas como pesca, aquicultura e pecuária. Seus objetivos incluem a promoção da melhoria da qualidade de vida da população local, conservação dos recursos naturais, desenvolvimento de projetos de uso sustentável, proteção da diversidade biológica e espécies ameaçadas, recuperação de áreas alteradas, e promoção do ecoturismo e educação ambiental. A beleza cênica do reservatório da UHE Tucuruí e dos fragmentos de Floresta Ombrófila Densa proporciona grande potencial para o desenvolvimento do turismo (convencional, ecológico, esportivo ou de base comunitária). Atrativos incluem o Pedral do Lourenço, Paliteiros, e a antiga Estrada de Ferro Tocantins. As atividades recreativas focam no turismo de pesca esportiva com a filosofia ""pesque e solte""."
"Reserva de Desenvolvimento Sustentável Alcobaça","Lei Estadual Nº 6.451",08/04/02,"https://ideflorbio.pa.gov.br/reserva-de-desenvolvimento-sustentavel-alcobaca/","Reserva de Desenvolvimento Sustentável Alcobaça (RDS Alcobaça): Unidade de Conservação de Uso Sustentável, composta apenas por ilhas situadas dentro da APA Lago de Tucuruí, nos municípios de Tucuruí e Novo Repartimento. Possui uma área de 36.128 hectares, dos quais 78% correspondem à porção aquática da UC. Foi concebida em territórios do Lago com maior densidade de ocupação de populações tradicionais. Seu objetivo básico é aliar a conservação do patrimônio ambiental à manutenção dos meios para reprodução e melhoria da qualidade de vida das populações tradicionais, que baseiam sua existência em sistemas sustentáveis de exploração dos recursos naturais. Também se propõe a ser um instrumento para o aperfeiçoamento do conhecimento e das técnicas de manejo do ambiente desenvolvidas por essas populações."
